Data;Przepustowość
01.02.2024;3
01.03.2024;5
01.04.2024;4
01.05.2024;2
01.08.2024;6
01.09.2024;7
01.10.2024;5
01.11.2024;4
01.12.2024;3
01.15.2024;8
01.16.2024;6
01.17.2024;7
01.18.2024;5
01.19.2024;4
01.22.2024;9
01.23.2024;7
01.24.2024;6
01.25.2024;8
01.26.2024;5
01.29.2024;4
01.30.2024;6
01.31.2024;7
02.01.2024;5
02.02.2024;3
02.05.2024;8
02.06.2024;6
02.07.2024;7
02.08.2024;9
02.09.2024;5
02.12.2024;4
02.13.2024;6
02.14.2024;7
02.15.2024;8
02.16.2024;5
02.19.2024;3
02.20.2024;6
02.21.2024;7
02.22.2024;4
02.23.2024;5
02.26.2024;8
02.27.2024;6
02.28.2024;7
02.29.2024;9
03.01.2024;5
03.04.2024;4
03.05.2024;6
03.06.2024;7
03.07.2024;8
03.08.2024;5
03.11.2024;3
03.12.2024;6
03.13.2024;7
03.14.2024;4
03.15.2024;5
03.18.2024;8
03.19.2024;6
03.20.2024;7
03.21.2024;9
03.22.2024;5
03.25.2024;4
03.26.2024;6
03.27.2024;7
03.28.2024;8
03.29.2024;5
04.01.2024;3
04.02.2024;6
04.03.2024;7
04.04.2024;4
04.05.2024;5
04.08.2024;8
04.09.2024;6
04.10.2024;7
04.11.2024;9
04.12.2024;5
